Timestamp,Frequency (GHz),Power (dBm),Min Power (dBm),Max Power (dBm),Avg Power (dBm)
0.0,0,0,0,0,0
1.0,0,0,0,0,0
2.0,0,0,0,0,0
3.0,0,0,0,0,0
4.0,0,0,0,0,0
5.0,0,0,0,0,0
6.0,1.0002341920374707,-49.18518518518519,0,0,0
7.0,1.0001170960187353,-42.55952380952381,0,0,0
8.0,0.9995327102803738,-38.75739644970414,0,0,0
9.0,1.0008274231678487,-39.61136023916293,0,0,0
10.0,1.0,-37.518910741301056,0,0,0
11.0,1.0004728132387708,-37.68996960486322,0,0,0
12.0,0.9997041420118343,-38.10240963855422,0,0,0
13.0,0.9995283018867924,-40.298507462686565,0,0,0
14.0,1.0005910165484633,-36.786786786786784,0,0,0
15.0,1.0005325443786983,-36.786786786786784,0,0,0
16.0,0,0,-49.18518518518519,-36.786786786786784,-39.729683670455465
17.0,0.9978622327790974,-37.142857142857146,0,0,0
18.0,1.0005910165484633,-36.80241327300151,0,0,0
19.0,1.000354609929078,-37.44360902255639,0,0,0
20.0,0,0,-37.44360902255639,-36.80241327300151,-37.12962647947168
21.0,0,0,0,0,0
22.0,0,0,0,0,0
