timestamp,top left box coord,bottom right box coord,box width,box height,max power,frequency
00:00:00,0,0,0,0,0,0
00:00:01,(0. 0),(893. 690),893,690,0,0
00:00:02,(4. 0),(893. 682),889,682,0,0
00:00:03,(0. 0),(893. 687),893,687,0,0
00:00:04,(0. 0),(893. 689),893,689,0,0
00:00:05,(181. 287),(186. 303),5,16,0,0
00:00:05,(189. 671),(195. 677),6,6,0,0
00:00:05,(250. 681),(255. 686),5,5,0,0
00:00:05,(263. 14),(273. 188),10,174,0,0
00:00:05,(268. 224),(273. 229),5,5,0,0
00:00:05,(269. 284),(274. 289),5,5,0,0
00:00:05,(338. 0),(414. 29),76,29,0,0
00:00:05,(344. 615),(375. 629),31,14,0,0
00:00:05,(353. 53),(358. 59),5,6,0,0
00:00:05,(434. 15),(439. 21),5,6,0,0
00:00:05,(437. 222),(452. 249),15,27,0,0
00:00:05,(446. 281),(453. 304),7,23,0,0
00:00:05,(458. 159),(464. 166),6,7,0,0
00:00:05,(490. 637),(496. 643),6,6,0,0
00:00:05,(6. 322),(869. 591),863,269,-31.127167630057805,1.0
00:00:05,(626. 295),(631. 301),5,6,0,0
00:00:05,(7. 0),(222. 268),215,268,-31.271676300578036,0
00:00:05,(793. 652),(801. 658),8,6,0,0
00:00:05,(865. 61),(874. 68),9,7,0,0
00:00:05,(873. 0),(880. 14),7,14,0,0
00:00:05,(877. 150),(884. 155),7,5,0,0
00:00:05,(880. 173),(893. 196),13,23,0,0
00:00:06,(13. 157),(220. 234),207,77,-58.872832369942195,0
00:00:06,(138. 0),(155. 7),17,7,0,0
00:00:06,(189. 671),(194. 676),5,5,0,0
00:00:06,(199. 255),(206. 265),7,10,0,0
00:00:06,(318. 0),(412. 9),94,9,0,0
00:00:06,(343. 615),(374. 627),31,12,0,0
00:00:06,(429. 224),(448. 267),19,43,0,0
00:00:06,(456. 159),(463. 166),7,7,0,0
00:00:06,(488. 637),(495. 643),7,6,0,0
00:00:06,(5. 0),(23. 8),18,8,0,0
00:00:06,(5. 303),(867. 586),862,283,-29.104046242774565,1.0
00:00:06,(60. 0),(115. 8),55,8,0,0
00:00:06,(730. 204),(735. 209),5,5,0,0
00:00:06,(791. 651),(799. 658),8,7,0,0
00:00:06,(84. 262),(91. 269),7,7,0,0
00:00:06,(863. 62),(871. 69),8,7,0,0
00:00:06,(872. 0),(893. 17),21,17,0,0
00:00:06,(878. 187),(893. 197),15,10,0,0
00:00:07,(187. 669),(192. 674),5,5,0,0
00:00:07,(262. 8),(270. 23),8,15,0,0
00:00:07,(3. 147),(887. 589),884,442,-6.127167630057798,1.0
00:00:07,(318. 0),(416. 9),98,9,0,0
00:00:07,(342. 613),(348. 621),6,8,0,0
00:00:07,(367. 618),(374. 640),7,22,0,0
00:00:07,(488. 635),(493. 642),5,7,0,0
00:00:07,(5. 0),(33. 8),28,8,0,0
00:00:07,(60. 0),(153. 12),93,12,0,0
00:00:07,(791. 649),(799. 657),8,8,0,0
00:00:07,(863. 59),(871. 68),8,9,0,0
00:00:07,(872. 0),(893. 16),21,16,0,0
